"pui","Problem","Abstract","ApiAbstract"
"25429980","false","Acetaminophen/paracetamol is the most widely used drug of the world. At the same time, it is probably one of the most dangerous compounds in medical use, causing hundreds of deaths in all industrialized countries due to acute liver failure (ALF). Publications of the last 130 years found in the usual databases were analyzed. Personal contacts existed to renowned researchers having contributed to the medical use of paracetamol and its precursors as H.U. Zollinger, S. Moeschlin, U. Dubach, J. Axelrod and others. Further information is found in earlier reviews by Eichengrün, Rodnan and Benedek, Sneader, Brune; comp. references. The history of the discovery of paracetamol starts with an error (active against worms), continues with a false assumption (paracetamol is safer than phenacetin), describes the first side-effect 'epidemy' (phenacetin nephropathy, drug-induced interstitial nephritis) and ends with the discovery of second-generation problems due to the unavoidable production of a highly toxic metabolite of paracetamol N-acetyl-p-benzoquinone imine (NAPQI) that may cause not only ALF and kidney damage but also impaired development of the fetus and the newborn child. It appears timely to reassess the risk/benefit ratio of this compound.",
"29903753","false","Paracetamol, on its own or in combination with other analgesics, is widely used to treat pain associated with acute and chronic conditions. It is considered safe enough to have a general sales licence (GSL) for use by ""adults, elderly and children over 16 years"" and has few listed cautions or contraindications.1,2 However, recently the effectiveness and safety of paracetamol for some conditions have been challenged, 3,4 and there are published case reports of liver failure associated with therapeutic doses.5-9 Here, we review the use of paracetamol, its pharmacokinetics, the mechanisms by which it can cause liver damage and consider whether frail older people are at greater risk of adverse effects. We also discuss if dose reduction should be considered in some circumstances.",
"7039926","false","In therapeutic doses paracetamol is a safe analgesic, but in overdosage it can cause severe hepatic necrosis. Following oral administration it is rapidly absorbed from the gastrointestinal tract, its systemic bioavailability being dose-dependent and ranging from 70 to 90%. Its rate of oral absorption is predominantly dependent on the rate of gastric emptying, being delayed by food, propantheline, pethidine and diamorphine and enhanced by metoclopramide. Paracetamol is also well absorbed from the rectum. It distributes rapidly and evenly throughout most tissues and fluids and has a volume of distribution of approximately 0.9L/kg. 10 to 20% of the drug is bound to red blood cells. Paracetamol is extensively metabolised (predominantly in the liver), the major metabolites being the sulphate and glucuronide conjugates. A minor fraction of drug is converted to a highly reactive alkylating metabolite which is inactivated with reduced glutathione and excreted in the urine as cysteine and mercapturic acid conjugates. Large doses of paracetamol (overdoses) cause acute hepatic necrosis as a result of depletion of glutathione and of binding of the excess reactive metabolite to vital cell constituents. This damage can be prevented by the early administration of sulfhydryl compounds such as methionine and N-acetylcysteine. In healthy subjects 85 to 95% of a therapeutic dose is excreted in the urine within 24 hours with about 4, 55, 30, 4 and 4% appearing as unchanged paracetamol and its glucuronide, sulphate, mercapturic acid and cysteine conjugates, respectively. The plasma half-life in such subjects ranges from 1.9 to 2.5 hours and the total body clearance from 4.5 to 5.5 ml/kg/min. Age has little effect on the plasma half-life, which is shortened in patients taking anticonvulsants. The plasma half-life is usually normal in patients with mild chronic liver disease, but its prolonged in those with decompensated liver disease.",
"24779190","false","Paracetamol/acetaminophen is one of the most popular and most commonly used analgesic and antipyretic drugs around the world, available without a prescription, both in mono- and multi-component preparations. It is the drug of choice in patients that cannot be treated with non-steroidal anti-inflammatory drugs (NSAID), such as people with bronchial asthma, peptic ulcer disease, hemophilia, salicylate-sensitized people, children under 12 years of age, pregnant or breastfeeding women. It is recommended as a first-line treatment of pain associated with osteoarthritis. The mechanism of action is complex and includes the effects of both the peripheral (COX inhibition), and central (COX, serotonergic descending neuronal pathway, L-arginine/NO pathway, cannabinoid system) antinociception processes and ""redox"" mechanism. Paracetamol is well tolerated drug and produces few side effects from the gastrointestinal tract, however, despite that, every year, has seen a steadily increasing number of registered cases of paracetamol-induced liver intoxication all over the world. Given the growing problem of the safety of acetaminophen is questioned the validity of the sale of the drug without a prescription. This work, in conjunction with the latest reports on the mechanism of action of paracetamol, trying to point out that it is not a panacea devoid of side effects, and indeed, especially when is taken regularly and in large doses (> 4 g/day), there is a risk of serious side effects.",
"38222988","false","Hidradenitis suppurativa (HS) is a chronic inflammatory skin disease with limited therapeutic options. Adalimumab, an anti-tumor necrosis factor-alpha (TNF-α) monoclonal antibody, was the first biological agent approved for the treatment of moderate to severe HS. Tuberculosis (TB) is a highly prevalent global public health problem, affecting individuals worldwide. Continuous immunosuppression from TNF-α treatment increases the risk of TB development. Isolated neurotuberculosis, in the absence of other symptoms, emerges as a rarely observed infection pattern in such patients. We present a case of a 23-year-old woman with severe HS undergoing treatment with adalimumab. After two years, she developed a pronounced occipital tension headache, constant nausea, and persistent fever. The patient's latent TB status was unknown without annual screening. Subsequent magnetic resonance imaging revealed a lesion in the cerebellar vermis. Immunosuppressive therapy was suspended and an etiological study was conducted; the only positive result was the interferon-gamma release assay. Empirically, antituberculosis treatment and prednisolone were initiated, leading to clinical and neurological improvement. After one year of treatment, symptoms resolved without neurological sequelae. This case highlights the importance of vigilant monitoring before, during, and after immunosuppressive treatment. Early recognition, discontinuation of anti-tumor necrosis factor medications, and appropriate management of TB are crucial to prevent complications.",
"38223561","true","BACKGROUND:. However, its application in the treatment of psittacosis pneumonia remains constrained.CASE PRESENTATION: was established through the utilization of metagenomic next-generation sequencing (mNGS). Initial administration of moxifloxacin, meropenem, piperacillin-tazobactam, and doxycycline proved to be ineffective. Subsequent omadacycline leaded to the successful resolution of fever and dyspnea. However, after the endotracheal tube was removed, the patient experienced a rapid decline in symmetrical limb strength, leading to a diagnosis of GBS based on clinical manifestations, cerebrospinal fluid analysis, and electromyography. Following a 5-day course of immunoglobulin therapy and nutritional nerve treatment, the patient's condition ameliorated, culminating in an uncomplicated discharge.CONCLUSION: pneumonia.",""
"38225193","false","Dengue fever (DF) primarily presents with fever, headache, malaise, bleeding manifestations and haemoconcentration. World Health Organization (WHO) classifies DF according to levels of severity: (a) without warning signs; (b) with warning signs, such as abdominal pain, persistent vomiting, fluid accumulation, mucosal bleeding, lethargy, liver enlargement, increasing haematocrit and thrombocytopenia; and (c) severe dengue with severe plasma leakage, severe bleeding or organ failure. Atypical clinical presentations of DF are defined as expanded dengue syndrome: this includes renal, cardiac, hepatic or cerebral damage. We report such a severe case where a young man developed acute kidney injury, acute fulminant liver failure and acute pancreatitis secondary to DF, but recovered.",
"38225347","false","Coccidioides is the fungal causative agent of Valley fever, a primarily pulmonary disease caused by inhalation of fungal arthroconidia, or spores. Although Coccidioides has been an established pathogen for 120 years and is responsible for hundreds of thousands of infections per year, little is known about when and where infectious Coccidioides arthroconidia are present within the ambient air in endemic regions. Long-term air sampling programs provide a means to investigate these characteristics across space and time. Here we present data from > 18 months of collections from 11 air sampling sites across the Phoenix, Arizona, metropolitan area. Overall, prevalence was highly variable across space and time with no obvious spatial or temporal correlations. Several high prevalence periods were identified at select sites, with no obvious spatial or temporal associations. Comparing these data with weather and environmental factor data, wind gusts and temperature were positively associated with Coccidioides detection, while soil moisture was negatively associated with Coccidioides detection. These results provide critical insights into the frequency and distribution of airborne arthroconidia and the associated risk of inhalation and potential disease that is present across space and time in a highly endemic locale.",
"38223736","false","Dengue is one of Pakistan's major health concerns. In this study, we aimed to advance our understanding of the levels of knowledge, attitudes, and practices (KAPs) in Pakistan's Dengue Fever (DF) hotspots. Initially, at-risk communities were systematically identified via a well-known spatial modeling technique, named, Kernel Density Estimation, which was later targeted for a household-based cross-sectional survey of KAPs. To collect data on sociodemographic and KAPs, random sampling was utilized (n = 385, 5 % margin of error). Later, the association of different demographics (characteristics), knowledge, and attitude factors-potentially related to poor preventive practices was assessed using bivariate (individual) and multivariable (model) logistic regression analyses. Most respondents (>90 %) identified fever as a sign of DF; headache (73.8 %), joint pain (64.4 %), muscular pain (50.9 %), pain behind the eyes (41.8 %), bleeding (34.3 %), and skin rash (36.1 %) were identified relatively less. Regression results showed significant associations of poor knowledge/attitude with poor preventive practices; dengue vector (odds ratio [OR] = 3.733, 95 % confidence interval [CI ] = 2.377-5.861; P < 0.001), DF symptoms (OR = 3.088, 95 % CI = 1.949-4.894; P < 0.001), dengue transmission (OR = 1.933, 95 % CI = 1.265-2.956; P = 0.002), and attitude (OR = 3.813, 95 % CI = 1.548-9.395; P = 0.004). Moreover, education level was stronger in bivariate analysis and the strongest independent factor of poor preventive practices in multivariable analysis (illiterate: adjusted OR = 6.833, 95 % CI = 2.979-15.672; P < 0.001) and primary education (adjusted OR = 4.046, 95 % CI = 1.997-8.199; P < 0.001). This situation highlights knowledge gaps within urban communities, particularly in understanding dengue transmission and signs/symptoms. The level of education in urban communities also plays a substantial role in dengue control, as observed in this study, where poor preventive practices were more prevalent among illiterate and less educated respondents.",
"38223621","true","UNLABELLED:Antibiotics are often started irrationally and continued injudiciously worldwide without a clinical diagnosis. Antibiotic prescription practises are governed by multiple factors like lack of diagnostic facilities, secondary infections, poor sanitary conditions, easy availability, pharmaceutical companies' marketing strategies and patients seeking the fastest cure from healthcare providers. We report a case of a 40-year-old male who was treated intermittently with multiple antibiotics for 3 months without being clinically diagnosed. The patient continued having episodes of fever with brief periods of remission. The occurrence of recurrent episodes of transient ischemic attacks alarmed him, and he was brought to a tertiary hospital, where a diagnosis of culture-negative Infective Endocarditis (IE) was made. He underwent successful high-risk double valve replacement and was discharged from the hospital in satisfactory condition.KEY MESSAGES:Antibiotics should be started judiciously with a proper clinical indication and should be reviewed from time to time regarding selection, duration, and response. In the case of non-responders, a thorough clinical examination followed by relevant investigations should be done for a proper clinical diagnosis.","UNLABELLED:Antibiotics are often started irrationally and continued injudiciously worldwide without a clinical diagnosis. Antibiotic prescription practises are governed by multiple factors like lack of diagnostic facilities, secondary infections, poor sanitary conditions, easy availability, pharmaceutical companies' marketing strategies and patients seeking the fastest cure from healthcare providers. We report a case of a 40-year-old male who was treated intermittently with multiple antibiotics for 3 months without being clinically diagnosed. The patient continued having episodes of fever with brief periods of remission. The occurrence of recurrent episodes of transient ischemic attacks alarmed him, and he was brought to a tertiary hospital, where a diagnosis of culture-negative Infective Endocarditis (IE) was made. He underwent successful high-risk double valve replacement and was discharged from the hospital in satisfactory condition."
"38223281","true","UNLABELLED:, and patients can present with a wide spectrum of clinical manifestations, depending on whether it is an acute or a chronic infection. We present the case of a 61-year-old male with fatigue, posterior thoracalgia, intermittent fever, night sweats and weight loss for a month. After an extensive workup, he was diagnosed with acute Q fever with large-vessel vasculitis. The FDG-PET/CT scan suggested an active vasculitis specifically in the thoracic aorta, proximal abdominal aorta, subclavian and carotid vessels, suggesting an immunologic response to acute Q fever infection, barely reported worldwide.LEARNING POINTS:Large-vessel vasculitis is a possible immunologic response to acute Q fever infection.There are few data about the management and treatment of patients with Q fever related large-vessel vasculitis.","UNLABELLED:Q fever is a zoonotic infection caused by the pathogen <i>Coxiella burnetii</i>, and patients can present with a wide spectrum of clinical manifestations, depending on whether it is an acute or a chronic infection. We present the case of a 61-year-old male with fatigue, posterior thoracalgia, intermittent fever, night sweats and weight loss for a month. After an extensive workup, he was diagnosed with acute Q fever with large-vessel vasculitis. The FDG-PET/CT scan suggested an active vasculitis specifically in the thoracic aorta, proximal abdominal aorta, subclavian and carotid vessels, suggesting an immunologic response to acute Q fever infection, barely reported worldwide."
"38222137","false","Mantle cell lymphoma (MCL) most commonly presents as lymphadenopathy (LAD), fevers, night sweats, weight loss, splenomegaly, and blood count abnormalities. While extranodal involvement as an initial presentation can occur, it is uncommon. At initial diagnosis, MCL most commonly presents as widespread, advanced stage III or IV lymphoma. Given advanced stage MCL at presentation, it is important for medical practitioners to recognize unusual extranodal presentations of MCL for earlier diagnosis and treatment planning. Here, we present a case of MCL initially presenting as cholecystitis and bilateral nephromegaly in a 53-year-old male patient.",
"38223708","true","OBJECTIVE:To report and analyze the clinical characteristics of 15 patients with Listeria meningitis in adult.METHODS:We reviewed the medical records of 15 patients with Listeria meningitis who were admitted to Shanxi Bethune Hospital between January 2017 and January 2023.RESULTS:The clinical manifestations was primarily characterized by fever， altered mental status, headache, neck stiffness, and vomiting. Blood or cerebrospinal fluid (CSF) cultures were performed in 15 cases, and pathogens were detected in 11 of them. Metagenomic next-generation sequencing (mNGS) detected pathogens in 10 cases, with four being negative by conventional methods and six being positive through traditional tests. The laboratory blood results presented leukocytosis. The CSF analysis upon admission showed elevated levels of white blood cells and proteins, as well as decreased chloride and glucose concentration. The brain computed tomography (CT) revealed ventricular enlargement in 3 patients. The brain magnetic resonance imaging (MRI) showed abnormalities in multiple areas of the brain. Despite 3 patients with decompensated hydrocephalus underwent lateral ventricle puncture and drainage，their neurological deterioration were increasingly deteriorating.7 patients were treated by mechanical ventilation due to respiratory insufficiency. After 3 months, there were 9 cases with excellent outcomes（modified Rankin Scale score of 0-2）,2 cases with favorable outcomes（score of 3-5）, and 4 deaths（score of 6）.CONCLUSIONS:. Additionally, the detection rate achieved by mNGS surpasses that of other conventional methods. Among the patient cohort, 11 had underlying diseases such as systemic lupus erythematosus, tuberculosis, diabetes mellitus, pituitary neoplasms, leukemia and other related illnesses. Once listeriosis is early identified, the adequate antibiotic therapy should be promptly introduced in the course of empirical treatment.",""
"38222021","true","BACKGROUND:.CASE SUMMARY: complicated by intracranial infection and septic shock. The patient successfully recovered following early percutaneous drainage of the abscess, prompt appropriate antibiotic administration, and timely open surgical drainage.CONCLUSION:, which has rarely been reported. The findings of this report point to the need for further study of this disease.",""
"38225554","true","INTRODUCTION:Extrapulmonary tuberculosis (EPTB) adds to India's significant economic burden, with pericardial effusion being a potentially fatal complication. This case report highlights the need for early diagnosis and the feasibility of shorter-duration treatment for EPTB in developing countries.PRESENTATION:This case report describes a 19-year-old male from Southeast Asia who had a history of bronchiectasis involving the left lower lobe and the right middle lobe, which was cystic in nature, as well as multiple episodes of non-tuberculous pneumonia. Currently, he presented with fever, hypotension, tachycardia, and acute kidney injury. Echocardiogram showed left ventricular dysfunction with a left ventricular ejection fraction (LVEF) of 45% and moderate pericardial effusion. Early signs of cardiac tamponade were noted, specifically the absence of respiratory variation in the right ventricle and left ventricle collapse. Emergent pericardiocentesis was performed, and hemorrhagic pericardial fluid was aspirated. Fluid analysis revealed high levels of LDH (5000 U/L), polymorphonuclear leukocytosis, and acid-fast bacilli that were visualized on microscopy, which led to the diagnosis of pericardial tuberculosis. A CT of the abdomen showed hepatosplenomegaly and polyserositis. Empirically, antitubercular therapy consisting of isoniazid, rifampin, pyrazinamide, and ethambutol was administered for 2 months and isoniazid along with rifampicin was given for the next 4 months. Serial echocardiograms in the following months showed an improvement in LVEF (55%) and decreased effusion. However, during this treatment period, due to frequent episodes of pneumonia, the evaluation of immunodeficiency disorders was performed and revealed low levels of IgG (4.741 g/L), IgA (0.238 g/L), and IgM (0.098 g/L). He was diagnosed with common variable immunodeficiency disease and received intravenous immunoglobulin therapy.CONCLUSION:This report emphasizes the timely identification of cardiac tamponade and the effective management of EPTB through a shorter-than-recommended course of antitubercular therapy, resulting in the alleviation of symptoms and better overall health outcomes.",""
